"","Acanthella.acuta","Adeonella.calveti","Agelas.oroides","Aglaophenia.sp","Algal.turf","Aplidium.conicum","Aplidium.fuscum","Aplysina.cavernicola","Axinella.damicornis","Brown.macroalgae.erect.no.id","Bryopsis.type","Caberea.boryi","Cacospongia.scalaris.type.","Caryophyllia.inornata","Caulerpacylindracea","Cellaria.sp","Celleporina.sp","Chartella.tenella","Chondria.type","Chondrosia.reniformis","Clathrina.clathrus","Clathrina.coriacea","Clavelina.dellavallei","Clavelina.lepadiformis","Cliona.sp","Corallina.elongata","Corallium.rubrum","Corticium.candelabrum","Corynactis.viridis","Crambe.crambe","Crella.pulvinar","Crisia.sp","Dead.decomposing","Dendroxea.lenis","Dentiporella.sardonica","Dictyopteris.membranacea","Dictyota.dichotoma.var.intrincata","Dictyota.sp","Didemnum.vexillum","Disporella.hispida","Dynamena.Laomedea.type","Dysidea.avara","Encrusting.Briozoa.no.id.Orange","Encrusting.calcareous.no.id","Erect.corallinacea.no.id","Erythroglossum.sandrianum","Eudendrium.sp","Eunicella.cavolinii","Fasciospongia.cavernosa","Filamentous.red.algae.falkenbergia.type","Filograna.implexa.Salamacina.dysteri","Flabellia.petiolata","Gregarinidra.gregaria","Haliclona.fulva","Haliclona.mediterranea","Haliclona.mucosa","Halimeda.tuna","Haliptilon.virgatum","Halocynthia.papillosa","Hemimycale.columella","Hexadella.pruvoti","Hexadella.racovitzai","Hildebrandia.rubra","Hoplangia.durotrix","Hydrozoa.turf","Idmidronea.sp","Invertebrate.mixture.thin.sponges.layers","Ircinia.oros.type.Massive.black","Ircinia.variabilis","Leptopsammia.pruvoti","Liagora.sp","Lichenophora.radiata","Lithophyllum.stictaeforme","Mesophyllum.alternans","Miniacina.mineacea","Mixture.complex","Myriapora.truncata","Oscarella.sp","Other.sponge.2.black.encrusting","Other.sponge.3.orange.encrusting","Other.sponge.4.yellow.encrusting","Other.sponge.5.grey.white.emcrusting","Other.sponge.6.grey.white.massive","Other.sponge.encrusting.green","Other.sponge.encrusting.red","Padina.pavonica","Palmophyllum.crassum","Paramuricea.clavata","Parazoanthus.axinellae","Pentapora.fascialis","Petrosia.ficiformis","Peyssonnelia.sp","Phorbas.tenacior","Plakina.sp","Pleraplysilla.spinifera","Prosuberites.longispinus","Protula.sp.Serpula.vermicularis","Pycnoclavella.sp","Red.macroalgae.laminar.no.id","Reteporella.grimaldii","Rhodymenia.ardissonei","Sargassum.type","Schizomavella.linearis","Schizomavella.mamillata","Scrupocellaria.sp","Serpulidae","Smittoidea.sp","Spongia.virgultosa","Spongosorites.intrincatus","Turbicellepora.sp","Valonia.macrophysa"
"2003_Pzzu_cor_1",0,0,0,0,0,0,2,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.8,0,6.8,0,0,0,0,0.4,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,10.4,0,0,0,0,0.8,64.8,0,0,0,0,0,0.8,2.8,0,0,0,0,0,0,0,2,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0
"2003_Pzzu_cor_2",0,1.6,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,0,0,0,0,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,4.8,0,0,0,0,0,0,0,1.2,0,0,0,0,0,7.6,0,0,0,0,0.8,45.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.6,1.6,0,0,0,0,2.4,0,0,0,0,0,2,0,0,0,0,0
"2003_Pzzu_cor_3",0,2.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.6,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0.4,4,0,0,0,0,0,46.4,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0.4,0,0,0,0,0,0.4,0,0,0,0,0
"2003_Pzzu_cor_4",0,0,0,0,0,0,1.6,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,4,0.4,1.2,0,0,0,0,0,0,0,5.2,0,0,3.6,0,0,4.4,0,0,0,0,0.8,51.6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0
"2003_Pzzu_cor_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,8.8,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.4,0,0,0,0,0,0,0,0,5.6,0,1.2,0,0,0,0,0,0,0,0,1.2,0,0,4,0,0.4,10.4,0,0,0,0,0.4,63.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2003_Pzzu_cor_6",0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,1.2,3.2,0,0,0,0,0,66.4,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,1.6,0,2,0,0.4,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0
"2003_Pzzu_cor_7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,3.6,0,0,0,0,0.4,65.6,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2003_Pzzu_cor_8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,0,0,0,0,0,0,8.4,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,4.8,0,0,0.8,0,0,0.4,0,0,0,0,4,0,0,0,0,0,4.8,0,0,0,0,0.8,57.2,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,6.8,0,0,0,0.4,0,0,0,0,0.4,0,0,0,0,0,0.8,0,0,0,0,0
"2003_Pzzu_cor_9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,14.4,0,0,0,0,0,59.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2003_Pzzu_cor_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,12,0,0,0,0,0.4,75.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
