"","PC1","PC2","PC3","PC4"
"Cliona.sp",-0.135794765605442,0.2025676644829,0.105214627461038,-0.0654576168011771
"Serpulidae",0.0312326497151828,-0.308639838414151,-0.137116020805634,-0.0591544911092444
"Protula.sp.Serpula.vermicularis",0.0148903915806292,-0.249099206846958,-0.15030892770659,-0.082282280601571
"Palmophyllum.crassum",0.334902835636675,0.0120319740622714,0.0163197509374822,-0.115633318778052
"Encrusting.calcareous.no.id",0.201112079865204,0.0812862703146911,-0.212539309224937,-0.248155412392312
"Hildebrandia.rubra",0.263629256904544,0.00704526519072339,-0.14999116009416,-0.216899765339638
"Lithophyllum.stictaeforme",0.263629256904544,0.00704526519072339,-0.14999116009416,-0.216899765339638
"Peyssonnelia.sp",0.263629256904544,0.00704526519072339,-0.14999116009416,-0.216899765339638
"Mesophyllum.alternans",0.263629256904544,0.00704526519072339,-0.14999116009416,-0.216899765339638
"Dead.decomposing",0.0646587068792738,-0.318881807481501,0.202531599480112,0.10897578942782
"Pycnoclavella.sp",0.025315594472805,-0.185696590237179,0.19930810741349,0.106757020827222
"Filograna.implexa.Salamacina.dysteri",-0.0544004792587078,-0.297650067407258,0.025446458423968,-0.0868676912497461
"Mixture.complex",0.0545647395039048,-0.0289354844570653,0.180320593009043,-0.206537145518116
"Aplidium.conicum",-0.0714325249678433,-0.0558249545975534,0.128213413556124,0.0383498801670422
"Didemnum.vexillum",-0.0714325249678433,-0.0558249545975534,0.128213413556124,0.0383498801670422
"Aplidium.fuscum",-0.0714325249678433,-0.0558249545975534,0.128213413556124,0.0383498801670422
"Disporella.hispida",-0.144307714650704,-0.178147263582635,-0.0220020546179476,-0.137501622512657
"Smittoidea.sp",-0.144307714650704,-0.178147263582635,-0.0220020546179476,-0.137501622512657
"Schizomavella.mamillata",-0.144307714650704,-0.178147263582635,-0.0220020546179476,-0.137501622512657
"Turbicellepora.sp",-0.144307714650704,-0.178147263582635,-0.0220020546179476,-0.137501622512657
"Schizomavella.linearis",-0.144307714650704,-0.178147263582635,-0.0220020546179476,-0.137501622512657
"Lichenophora.radiata",-0.144307714650704,-0.178147263582635,-0.0220020546179476,-0.137501622512657
"Invertebrate.mixture.thin.sponges.layers",-0.176880156253967,-0.0425497541781814,0.125971278008196,-0.0757276971328022
"Other.sponge.2.black.encrusting",-0.176880156253967,-0.0425497541781814,0.125971278008196,-0.0757276971328022
"Other.sponge.5.grey.white.emcrusting",-0.176880156253967,-0.0425497541781814,0.125971278008196,-0.0757276971328022
"Spongia.virgultosa",-0.176880156253967,-0.0425497541781814,0.125971278008196,-0.0757276971328022
"Spongosorites.intrincatus",-0.176880156253967,-0.0425497541781814,0.125971278008196,-0.0757276971328022
"Other.sponge.4.yellow.encrusting",-0.176880156253967,-0.0425497541781814,0.125971278008196,-0.0757276971328022
