FE,Species,Morphology,Solitary.colonial,Maximum.longevity,Height,Width,Epibiosis,Energetic.resource,Photosyntetic.pigment,Feeding,Age.at.reproduction,Growth.rates,Physicial.defences
a241332gc322b,Cliona.sp,a,2,4,1,3,3,2,g,c,3,2,b
b121123ab223e,Serpulidae,b,1,2,1,1,2,3,a,b,2,3,e
b131223ab223e,Protula.sp.Serpula.vermicularis,b,1,3,1,2,2,3,a,b,2,3,e
b141321ba224a,Palmophyllum.crassum,b,1,4,1,3,2,1,b,a,2,4,a
b141431da223e,Encrusting.calcareous.no.id,b,1,4,1,4,3,1,d,a,2,3,e
b142321da224e,Mesophyllum.alternans,b,1,4,2,3,2,1,d,a,2,4,e
b142321da224e,Lithophyllum.stictaeforme,b,1,4,2,3,2,1,d,a,2,4,e
b142321da224e,Hildebrandia.rubra,b,1,4,2,3,2,1,d,a,2,4,e
b142321da224e,Peyssonnelia.sp,b,1,4,2,3,2,1,d,a,2,4,e
b211113ah125a,Dead.decomposing,b,2,1,1,1,1,3,a,h,1,5,a
b221123ac225a,Pycnoclavella.sp,b,2,2,1,1,2,3,a,c,2,5,a
b221213ab224e,Filograna.implexa.Salamacina.dysteri,b,2,2,1,2,1,3,a,b,2,4,e
b231422fg224f,Mixture.complex,b,2,3,1,4,2,2,f,g,2,4,f
b232323ac323a,Aplidium.conicum,b,2,3,2,3,2,3,a,c,3,3,a
b232323ac323a,Didemnum.vexillum,b,2,3,2,3,2,3,a,c,3,3,a
b232323ac323a,Aplidium.fuscum,b,2,3,2,3,2,3,a,c,3,3,a
b241223ab323e,Schizomavella.linearis,b,2,4,1,2,2,3,a,b,3,3,e
b241223ab323e,Turbicellepora.sp,b,2,4,1,2,2,3,a,b,3,3,e
b241223ab323e,Lichenophora.radiata,b,2,4,1,2,2,3,a,b,3,3,e
b241223ab323e,Smittoidea.sp,b,2,4,1,2,2,3,a,b,3,3,e
b241223ab323e,Disporella.hispida,b,2,4,1,2,2,3,a,b,3,3,e
b241223ab323e,Schizomavella.mamillata,b,2,4,1,2,2,3,a,b,3,3,e
b241323ac323b,Prosuberites.longispinus,b,2,4,1,3,2,3,a,c,3,3,b
b241323ac323b,Other.sponge.5.grey.white.emcrusting,b,2,4,1,3,2,3,a,c,3,3,b
