FE;Morphology;Solitary.colonial;Maximum.longevity ;Height;Width;Epibiosis;Energetic.resource;Photosyntetic.pigment;Feeding;Age.at.reproduction;Growth.rates;Physicial.defences
a241332gc322b;a;2;4;1;3;3;2;g;c;3;2;b
b121123ab223e;b;1;2;1;1;2;3;a;b;2;3;e
b131223ab223e;b;1;3;1;2;2;3;a;b;2;3;e
b141321ba224a;b;1;4;1;3;2;1;b;a;2;4;a
b141431da223e;b;1;4;1;4;3;1;d;a;2;3;e
b142321da224e;b;1;4;2;3;2;1;d;a;2;4;e
b211113ah125a;b;2;1;1;1;1;3;a;h;1;5;a
b221123ac225a;b;2;2;1;1;2;3;a;c;2;5;a
b221213ab224e;b;2;2;1;2;1;3;a;b;2;4;e
b231422fg224f;b;2;3;1;4;2;2;f;g;2;4;f
b232323ac323a;b;2;3;2;3;2;3;a;c;3;3;a
b241223ab323e;b;2;4;1;2;2;3;a;b;3;3;e
b241323ac323b;b;2;4;1;3;2;3;a;c;3;3;b
b241423ab223e;b;2;4;1;4;2;3;a;b;2;3;e
b241523ac323b;b;2;4;1;5;2;3;a;c;3;3;b
c112221da125a;c;1;1;2;2;2;1;d;a;1;5;a
c122221ba225a;c;1;2;2;2;2;1;b;a;2;5;a
c211123ab125a;c;2;1;1;1;2;3;a;b;1;5;a
c221321fa225a;c;2;2;1;3;2;1;f;a;2;5;a
d233321ba225a;d;2;3;3;3;2;1;b;a;2;5;a
d233321ba323d;d;2;3;3;3;2;1;b;a;3;3;d
d243221ba323d;d;2;4;3;2;2;1;b;a;3;3;d
e122221da225a;e;1;2;2;2;2;1;d;a;2;5;a
e123221ca225a;e;1;2;3;2;2;1;c;a;2;5;a
e123321ca225a;e;1;2;3;3;2;1;c;a;2;5;a
f132231da224d;f;1;3;2;2;3;1;d;a;2;4;d
g231123ab223e;g;2;3;1;1;2;3;a;b;2;3;e
g232223ab223e;g;2;3;2;2;2;3;a;b;3;3;e
g242233ab323e;g;2;4;2;2;3;3;a;b;3;3;e
g242323ad324a;g;2;4;2;3;2;3;a;d;3;4;a
g242333ad322e;g;2;5;2;3;3;3;a;d;3;2;e
g243423ab323e;g;2;4;3;4;2;3;a;b;3;3;e
g244423ab323e;g;2;4;4;4;2;3;a;b;3;3;e
h142223ad324a;h;1;4;2;2;2;3;a;d;3;4;a
h152233ad312e;h;1;5;2;2;3;3;a;d;3;2;e
h152233ad321e;h;1;5;2;2;3;3;a;d;3;1;e
i242323ac323b;i;2;4;2;3;2;3;a;c;3;3;b
i242333ac323b;i;2;4;2;3;3;3;a;c;3;3;b
i242423ac323b;i;2;4;2;4;2;3;a;c;3;3;b
i253323ac323b;i;2;5;3;3;2;3;a;c;3;3;b
i253532ec321c;i;2;5;3;5;3;2;e;c;3;1;c
j123233ac224a;j;1;2;3;2;3;3;a;c;2;4;a
j222233ac224a;j;2;2;2;2;3;3;a;c;2;4;a
k132221ba223a;k;1;3;2;2;2;1;b;a;2;3;a
k232333ac324c;k;2;4;2;3;3;3;a;c;3;4;c
k243333ac323b;k;2;4;3;3;3;3;a;c;3;3;b
k254433ac323b;k;2;5;4;4;3;3;a;c;3;3;b
k254433ec323b;k;2;5;4;4;3;2;e;c;3;3;b
l134231ca225a;l;1;3;4;2;3;1;c;a;2;5;a
l243333ab321e;l;2;4;3;3;3;3;a;b;3;1;e
l254433ad421c;l;2;5;4;4;3;3;a;d;5;1;c
l255533ad523c;l;2;5;5;5;3;3;a;d;5;3;c
