Temp;fitted;Species;Site;MHWDays;Year ;Size ;Impacted
22,5;;Corallium;Passe_cor;NA;NA;NA;NA
23;83;Corallium;Passe_cor;37;2014;0,21;No
23,0505;80,0255;Corallium;Passe_cor;NA;NA;NA;NA
23,101;77,125;Corallium;Passe_cor;NA;NA;NA;NA
23,1515;74,2976;Corallium;Passe_cor;NA;NA;NA;NA
23,202;71,5425;Corallium;Passe_cor;NA;NA;NA;NA
23,2525;68,8586;Corallium;Passe_cor;NA;NA;NA;NA
23,303;66,2452;Corallium;Passe_cor;NA;NA;NA;NA
23,3535;63,7012;Corallium;Passe_cor;NA;NA;NA;NA
23,404;61,2257;Corallium;Passe_cor;NA;NA;NA;NA
23,4545;58,8179;Corallium;Passe_cor;NA;NA;NA;NA
23,5051;56,4768;Corallium;Passe_cor;NA;NA;NA;NA
23,5556;54,2014;Corallium;Passe_cor;NA;NA;NA;NA
23,6061;51,9908;Corallium;Passe_cor;27;2009;0,21;No
23,6566;49,8441;Corallium;Passe_cor;NA;NA;NA;NA
23,7071;47,7604;Corallium;Passe_cor;NA;NA;NA;NA
23,7576;45,7386;Corallium;Passe_cor;NA;NA;NA;NA
23,8081;43,778;Corallium;Passe_cor;NA;NA;NA;NA
23,8586;41,8775;Corallium;Passe_cor;NA;NA;NA;NA
23,9091;40,0362;Corallium;Passe_cor;NA;NA;NA;NA
23,9596;38,2531;Corallium;Passe_cor;NA;NA;NA;NA
24,0101;36,5274;Corallium;Passe_cor;6;2018;0,06;No
24,0606;34,858;Corallium;Passe_cor;NA;NA;NA;NA
24,1111;33,2441;Corallium;Passe_cor;NA;NA;NA;NA
24,1616;31,6846;Corallium;Passe_cor;NA;NA;NA;NA
24,2121;30,1787;Corallium;Passe_cor;NA;NA;NA;NA
24,2626;28,7254;Corallium;Passe_cor;NA;NA;NA;NA
24,3131;27,3237;Corallium;Passe_cor;NA;NA;NA;NA
24,3636;25,9727;Corallium;Passe_cor;NA;NA;NA;NA
24,4141;24,6715;Corallium;Passe_cor;NA;NA;NA;NA
24,4646;23,419;Corallium;Passe_cor;NA;NA;NA;NA
24,5152;22,2145;Corallium;Passe_cor;NA;NA;NA;NA
24,5657;21,0568;Corallium;Passe_cor;NA;NA;NA;NA
24,6162;19,9451;Corallium;Passe_cor;NA;NA;NA;NA
24,6667;18,8785;Corallium;Passe_cor;NA;NA;NA;NA
24,7172;17,8559;Corallium;Passe_cor;NA;NA;NA;NA
24,7677;16,8765;Corallium;Passe_cor;NA;NA;NA;NA
24,8182;15,9392;Corallium;Passe_cor;NA;NA;NA;NA
24,8687;15,0432;Corallium;Passe_cor;NA;NA;NA;NA
24,9192;14,1876;Corallium;Passe_cor;NA;NA;NA;NA
24,9697;13,3713;Corallium;Passe_cor;NA;NA;NA;NA
25;12,5934;Corallium;Passe_cor;NA;NA;NA;NA
25,0707;11,8531;Corallium;Passe_cor;NA;NA;NA;NA
25,1212;11,1493;Corallium;Passe_cor;NA;NA;NA;NA
25,1717;10,4811;Corallium;Passe_cor;NA;NA;NA;NA
25,2222;9,8477;Corallium;Passe_cor;NA;NA;NA;NA
25,2727;9,248;Corallium;Passe_cor;NA;NA;NA;NA
25,3232;8,6812;Corallium;Passe_cor;NA;NA;NA;NA
25,3737;8,1463;Corallium;Passe_cor;NA;NA;NA;NA
25,4242;7,6423;Corallium;Passe_cor;NA;NA;NA;NA
25,4747;7,1685;Corallium;Passe_cor;NA;NA;NA;NA
25,5253;6,7238;Corallium;Passe_cor;NA;NA;NA;NA
25,5758;6,3074;Corallium;Passe_cor;NA;NA;NA;NA
25,6263;5,9183;Corallium;Passe_cor;NA;NA;NA;NA
25,6768;5,5556;Corallium;Passe_cor;NA;NA;NA;NA
25,7273;5,2184;Corallium;Passe_cor;NA;NA;NA;NA
25,7778;4,9058;Corallium;Passe_cor;NA;NA;NA;NA
25,8283;4,6169;Corallium;Passe_cor;NA;NA;NA;NA
25,8788;4,3509;Corallium;Passe_cor;NA;NA;NA;NA
25,9293;4,1067;Corallium;Passe_cor;NA;NA;NA;NA
25,9798;3,8836;Corallium;Passe_cor;NA;NA;NA;NA
26,0303;3,6806;Corallium;Passe_cor;NA;NA;NA;NA
26,0808;3,4968;Corallium;Passe_cor;NA;NA;NA;NA
26,1313;3,3314;Corallium;Passe_cor;NA;NA;NA;NA
26,1818;3,1835;Corallium;Passe_cor;NA;NA;NA;NA
26,2323;3,0522;Corallium;Passe_cor;NA;NA;NA;NA
26,2828;2,9366;Corallium;Passe_cor;NA;NA;NA;NA
26,3333;2,8359;Corallium;Passe_cor;NA;NA;NA;NA
26,3838;2,7493;Corallium;Passe_cor;NA;NA;NA;NA
26,4343;2,6758;Corallium;Passe_cor;NA;NA;NA;NA
26,4848;2,6146;Corallium;Passe_cor;NA;NA;NA;NA
26,5354;2,5649;Corallium;Passe_cor;NA;NA;NA;NA
26,5859;2,5258;Corallium;Passe_cor;NA;NA;NA;NA
26,6364;2,4965;Corallium;Passe_cor;NA;NA;NA;NA
26,6869;2,4762;Corallium;Passe_cor;NA;NA;NA;NA
26,7374;2,464;Corallium;Passe_cor;NA;NA;NA;NA
26,7879;2,4591;Corallium;Passe_cor;NA;NA;NA;NA
26,8384;2,4607;Corallium;Passe_cor;NA;NA;NA;NA
26,8889;2,468;Corallium;Passe_cor;NA;NA;NA;NA
26,9394;2,4801;Corallium;Passe_cor;NA;NA;NA;NA
26,9899;2,4963;Corallium;Passe_cor;NA;NA;NA;NA
27;2,5158;Corallium;Passe_cor;NA;NA;NA;NA
27,0909;2,5378;Corallium;Passe_cor;NA;NA;NA;NA
