Time;Cluster1;Cluster2;Cluster3;Cluster4;Cluster5;Cluster6;Cluster7;Cluster8
Pzzu_cor_2003;18;11;1;3;NA;NA;3;1
Pzzu_cor_2011;21;12;1;4;NA;NA;3;1
Pzzu_cor_2018;16;15;1;4;NA;NA;3;1
Pzzu_par_2006;18;14;5;6;6;2;3;3
Pzzu_par_2011;24;10;6;6;8;2;3;3
Pzzu_par_2018;20;12;5;6;7;2;3;3
Gabin_par_1999;13;13;3;4;6;NA;NA;1
Gabin_par_2007;10;6;7;7;6;1;NA;1
Gabin_par_2009;9;5;4;6;6;1;NA;1
Pzzinu_par_2006;19;12;5;5;3;NA;4;1
Pzzinu_par_2011;23;11;4;6;6;NA;4;1
Pzzinu_par_2016;23;12;5;5;4;NA;4;1
Passe_cor_2006;13;16;1;6;NA;NA;3;1
Passe_cor_2011;14;15;1;4;NA;NA;3;1
Passe_cor_2018;13;14;1;5;NA;NA;3;1
