Quadrats	Site	Year
2003_Pzzu_cor_1	Pzzu_cor	Pzzu_cor_2003
2003_Pzzu_cor_2	Pzzu_cor	Pzzu_cor_2003
2003_Pzzu_cor_3	Pzzu_cor	Pzzu_cor_2003
2003_Pzzu_cor_4	Pzzu_cor	Pzzu_cor_2003
2003_Pzzu_cor_5	Pzzu_cor	Pzzu_cor_2003
2003_Pzzu_cor_6	Pzzu_cor	Pzzu_cor_2003
2003_Pzzu_cor_7	Pzzu_cor	Pzzu_cor_2003
2003_Pzzu_cor_8	Pzzu_cor	Pzzu_cor_2003
2003_Pzzu_cor_9	Pzzu_cor	Pzzu_cor_2003
2003_Pzzu_cor_10	Pzzu_cor	Pzzu_cor_2003
2003_Pzzu_cor_11	Pzzu_cor	Pzzu_cor_2003
2003_Pzzu_cor_12	Pzzu_cor	Pzzu_cor_2003
2003_Pzzu_cor_13	Pzzu_cor	Pzzu_cor_2003
2003_Pzzu_cor_14	Pzzu_cor	Pzzu_cor_2003
2003_Pzzu_cor_15	Pzzu_cor	Pzzu_cor_2003
2003_Pzzu_cor_16	Pzzu_cor	Pzzu_cor_2003
2003_Pzzu_cor_17	Pzzu_cor	Pzzu_cor_2003
2003_Pzzu_cor_18	Pzzu_cor	Pzzu_cor_2003
2003_Pzzu_cor_19	Pzzu_cor	Pzzu_cor_2003
2003_Pzzu_cor_20	Pzzu_cor	Pzzu_cor_2003
2003_Pzzu_cor_21	Pzzu_cor	Pzzu_cor_2003
2003_Pzzu_cor_22	Pzzu_cor	Pzzu_cor_2003
2003_Pzzu_cor_23	Pzzu_cor	Pzzu_cor_2003
2003_Pzzu_cor_24	Pzzu_cor	Pzzu_cor_2003
2011_Pzzu_cor_1	Pzzu_cor	Pzzu_cor_2011
2011_Pzzu_cor_2	Pzzu_cor	Pzzu_cor_2011
2011_Pzzu_cor_3	Pzzu_cor	Pzzu_cor_2011
2011_Pzzu_cor_4	Pzzu_cor	Pzzu_cor_2011
2011_Pzzu_cor_5	Pzzu_cor	Pzzu_cor_2011
2011_Pzzu_cor_6	Pzzu_cor	Pzzu_cor_2011
2011_Pzzu_cor_7	Pzzu_cor	Pzzu_cor_2011
2011_Pzzu_cor_8	Pzzu_cor	Pzzu_cor_2011
2011_Pzzu_cor_9	Pzzu_cor	Pzzu_cor_2011
2011_Pzzu_cor_10	Pzzu_cor	Pzzu_cor_2011
2011_Pzzu_cor_11	Pzzu_cor	Pzzu_cor_2011
2011_Pzzu_cor_12	Pzzu_cor	Pzzu_cor_2011
2011_Pzzu_cor_13	Pzzu_cor	Pzzu_cor_2011
2011_Pzzu_cor_14	Pzzu_cor	Pzzu_cor_2011
2011_Pzzu_cor_15	Pzzu_cor	Pzzu_cor_2011
