;Pzzu_cor_2003;Pzzu_cor_2011;Pzzu_cor_2018;Pzzu_par_2006;Pzzu_par_2011;Pzzu_par_2018;Gabin_par_1999;Gabin_par_2007;Gabin_par_2009;Pzzinu_par_2006;Pzzinu_par_2016;Pzzinu_par_2011;Passe_cor_2006;Passe_cor_2011;Passe_cor_2018
Acanthella.acuta;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0
Adeonella.calveti;0,166666667;0,1;0,033333333;0,020833333;0;0;0,166666667;0,145833333;0;0;0,083333333;0,222083333;1,221666667;0,832916667;0,61125
Agelas.oroides;0,766666667;1,05;1,129166667;0;0;0;0;0;0;0;0;0;0,63875;0,36125;0,11125
Aglaophenia.sp;0;0;0;0;0;0;0;0,270833333;0,375;0;0,13875;0;0;0;0
Algal.turf;0;0;0;8,625;8,958333333;13,875;1,875;14,08333333;17,125;0,055416667;0,083333333;0,777916667;0;0;0
Aplidium.conicum;0;0;0;0;0;0;0,041666667;0,25;0;0;0;0;0;0;0
Aplidium.fuscum;0,316666667;1,65;0,8;0,770833333;0,416666667;0,083333333;0;0;0;0,25;0,417083333;0,027916667;0;0;0
Aplysina.cavernicola;0;0;0;0;0;0;0;0;0;6,555416667;5,91625;5,3325;0;0;0
Axinella.damicornis;0,033333333;0,066666667;0,116666667;0,229166667;0,166666667;0,270833333;0,25;0,020833333;0;0,167083333;0,277916667;0,25;0,500416667;0,4725;0,812173913
Brown.macroalgae.erect.no.id;0;0;0;0,083333333;0,041666667;0;0,708333333;0,104166667;0;0;0;0;0;0;0
Bryopsis.type;0;0;0;0,375;0,979166667;5,875;0;0,020833333;0;0;0;0,110833333;0;0;0
Caberea.boryi;0;0;0,016666667;0;0;0;0;0;0;0;0;0;0,055833333;0,027916667;0,055833333
Cacospongia.scalaris.type.;0;0;0;3,1875;1,916666667;0,166666667;0;0;0;13,86166667;8,860416667;7,582916667;0;0;0
Caryophyllia.inornata;0,083333333;0,15;0,116666667;0,0625;0,041666667;0,041666667;0;0;0;0,222916667;0,08375;0,139583333;0,055833333;0,083333333;0,055833333
Caulerpacylindracea;0;0;0;0;0;0;0;9,166666667;16,16666667;0;0;0;0;0;0
