"Species","FE","Morphology","Solitary.colonial","Maximum.longevity","Height","Width","Epibiosis","Energetic.resource","Photosyntetic.pigment","Feeding","Age.at.reproduction","Growth.rates","Physicial.defences"
"Cliona.sp","a241332gc322b","a",2,4,1,3,3,2,"g","c",3,2,"b"
"Serpulidae","b121123ab223e","b",1,2,1,1,2,3,"a","b",2,3,"e"
"Protula.sp.Serpula.vermicularis","b131223ab223e","b",1,3,1,2,2,3,"a","b",2,3,"e"
"Palmophyllum.crassum","b141321ba224a","b",1,4,1,3,2,1,"b","a",2,4,"a"
"Encrusting.calcareous.no.id","b141431da223e","b",1,4,1,4,3,1,"d","a",2,3,"e"
"Mesophyllum.alternans","b142321da224e","b",1,4,2,3,2,1,"d","a",2,4,"e"
"Lithophyllum.stictaeforme","b142321da224e","b",1,4,2,3,2,1,"d","a",2,4,"e"
"Hildebrandia.rubra","b142321da224e","b",1,4,2,3,2,1,"d","a",2,4,"e"
"Peyssonnelia.sp","b142321da224e","b",1,4,2,3,2,1,"d","a",2,4,"e"
"Dead.decomposing","b211113ah125a","b",2,1,1,1,1,3,"a","h",1,5,"a"
"Pycnoclavella.sp","b221123ac225a","b",2,2,1,1,2,3,"a","c",2,5,"a"
"Filograna.implexa.Salamacina.dysteri","b221213ab224e","b",2,2,1,2,1,3,"a","b",2,4,"e"
"Mixture.complex","b231422fg224f","b",2,3,1,4,2,2,"f","g",2,4,"f"
"Aplidium.conicum","b232323ac323a","b",2,3,2,3,2,3,"a","c",3,3,"a"
"Didemnum.vexillum","b232323ac323a","b",2,3,2,3,2,3,"a","c",3,3,"a"
"Aplidium.fuscum","b232323ac323a","b",2,3,2,3,2,3,"a","c",3,3,"a"
"Schizomavella.linearis","b241223ab323e","b",2,4,1,2,2,3,"a","b",3,3,"e"
"Turbicellepora.sp","b241223ab323e","b",2,4,1,2,2,3,"a","b",3,3,"e"
"Lichenophora.radiata","b241223ab323e","b",2,4,1,2,2,3,"a","b",3,3,"e"
"Smittoidea.sp","b241223ab323e","b",2,4,1,2,2,3,"a","b",3,3,"e"
"Disporella.hispida","b241223ab323e","b",2,4,1,2,2,3,"a","b",3,3,"e"
"Schizomavella.mamillata","b241223ab323e","b",2,4,1,2,2,3,"a","b",3,3,"e"
"Prosuberites.longispinus","b241323ac323b","b",2,4,1,3,2,3,"a","c",3,3,"b"
"Other.sponge.5.grey.white.emcrusting","b241323ac323b","b",2,4,1,3,2,3,"a","c",3,3,"b"
"Spongia.virgultosa","b241323ac323b","b",2,4,1,3,2,3,"a","c",3,3,"b"
"Other.sponge.encrusting.red","b241323ac323b","b",2,4,1,3,2,3,"a","c",3,3,"b"
"Other.sponge.4.yellow.encrusting","b241323ac323b","b",2,4,1,3,2,3,"a","c",3,3,"b"
"Plakina.sp","b241323ac323b","b",2,4,1,3,2,3,"a","c",3,3,"b"
"Spongosorites.intrincatus","b241323ac323b","b",2,4,1,3,2,3,"a","c",3,3,"b"
"Invertebrate.mixture.thin.sponges.layers","b241323ac323b","b",2,4,1,3,2,3,"a","c",3,3,"b"
"Other.sponge.3.orange.encrusting","b241323ac323b","b",2,4,1,3,2,3,"a","c",3,3,"b"
"Other.sponge.2.black.encrusting","b241323ac323b","b",2,4,1,3,2,3,"a","c",3,3,"b"
"Other.sponge.encrusting.green","b241323ac323b","b",2,4,1,3,2,3,"a","c",3,3,"b"
"Fasciospongia.cavernosa","b241323ac323b","b",2,4,1,3,2,3,"a","c",3,3,"b"
"Gregarinidra.gregaria","b241423ab223e","b",2,4,1,4,2,3,"a","b",2,3,"e"
"Encrusting.Briozoa.no.id.Orange","b241423ab223e","b",2,4,1,4,2,3,"a","b",2,3,"e"
